,,,,,,Daily Price Report-01-01-2024 to 31-12-2024,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"37,000.00","40,000.00","37,000.00",Rs./Quintal,31-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"38,000.00","40,000.00","39,000.00",Rs./Quintal,30-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"37,000.00","40,000.00","39,000.00",Rs./Quintal,28-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"37,000.00","40,000.00","39,000.00",Rs./Quintal,27-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","40,000.00","39,000.00",Rs./Quintal,26-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"38,000.00","40,000.00","40,000.00",Rs./Quintal,25-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,500.00","36,500.00","36,500.00",Rs./Quintal,24-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"39,000.00","39,500.00","39,500.00",Rs./Quintal,21-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"37,000.00","38,500.00","38,000.00",Rs./Quintal,20-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","38,500.00","37,000.00",Rs./Quintal,18-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"38,500.00","38,500.00","38,500.00",Rs./Quintal,17-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"35,000.00","38,500.00","38,000.00",Rs./Quintal,11-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"35,000.00","35,000.00","35,000.00",Rs./Quintal,07-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,06-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","38,500.00","38,500.00",Rs./Quintal,05-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,03-12-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,30-11-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,29-11-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,26-11-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,23-11-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,22-11-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"35,000.00","36,500.00","36,000.00",Rs./Quintal,20-11-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,16-11-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,15-11-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,14-11-2024
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,13-11-2024
