,,,,,,Daily Price Report-01-01-2025 to 31-12-2025,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,15-09-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,11-09-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,500.00","38,000.00","38,000.00",Rs./Quintal,09-08-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"39,500.00","41,000.00","39,600.00",Rs./Quintal,08-08-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"38,600.00","38,700.00","38,600.00",Rs./Quintal,04-08-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,500.00","36,500.00","36,500.00",Rs./Quintal,29-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,500.00","36,500.00","36,500.00",Rs./Quintal,28-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,500.00","36,500.00","36,500.00",Rs./Quintal,26-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,500.00","36,500.00","36,500.00",Rs./Quintal,25-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,500.00","36,500.00","36,500.00",Rs./Quintal,22-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,500.00","36,500.00","36,500.00",Rs./Quintal,21-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,500.00","38,000.00","38,000.00",Rs./Quintal,16-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"38,600.00","40,000.00","40,000.00",Rs./Quintal,15-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"46,500.00","46,500.00","46,500.00",Rs./Quintal,09-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,500.00","36,500.00",Rs./Quintal,08-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"38,000.00","38,000.00","38,000.00",Rs./Quintal,04-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"36,000.00","36,000.00","36,000.00",Rs./Quintal,03-07-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"41,000.00","41,000.00","41,000.00",Rs./Quintal,19-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,16-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,15-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,14-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,13-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,12-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,11-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,10-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,09-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,07-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,06-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,04-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,02-06-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,31-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,30-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,29-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,28-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,27-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,24-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,23-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,22-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,21-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,20-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,19-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,17-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,16-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","46,000.00","46,000.00",Rs./Quintal,15-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","46,000.00","46,000.00",Rs./Quintal,14-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,08-05-2025
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"44,000.00","44,000.00","44,000.00",Rs./Quintal,07-05-2025
